ID,Price,Bedroom amount,Bathroom amount,Area,Floor amount,Air conditioner,BBQ,Receptionists,GYM,Garden,Library,Park,Playground,Guard,Pool,Tennis court,Wifi,Location,Type,Near transport,Furnished
632ac72a-35c3-4beb-9023-684b1b823214,51000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,retail-spaces,0,fully
52bc3218-b1ad-4ad8-bfc1-ff44d4f04539,2200000000,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,retail-spaces,0,fully
2d66a26a-4735-4e02-b643-d974a2906ed5,95000000000,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,retail-spaces,0,fully
c0a95e78-94c8-4393-ab59-3319f66c5375,220000000000,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,retail-spaces,0,fully
459766a8-8022-40f2-abee-4e1be6858323,220000000000,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,retail-spaces,0,fully
8d12daf0-9a9a-488c-ba32-02ffb5fd7e01,42000000000,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,retail-spaces,0,fully
89f4c5cd-8325-4ec4-9221-5588bd8c3685,65000000000,0,0,591.0,6,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,retail-spaces,0,partly
a8745782-d6d8-4c82-a137-9b2a81422d25,48400000000,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,ho-chi-minh,retail-spaces,0,partly
Global 28/3,36000000000,4,6,475.0,5,1,1,1,1,1,1,1,1,1,1,1,1,ho-chi-minh,retail-spaces,0,partly
0093329e-3831-4f9b-ba3f-40391c2b5f29,36000000000,0,0,850.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,retail-spaces,0,partly
1eec388b-e6dc-4987-b3fe-678c99c23e26,39200000000,0,0,346.0,4,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,retail-spaces,0,partly
c766f4e7-5b5e-4cf3-9bcf-5320d0acf158,165000000000,0,0,1900.0,9,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,retail-spaces,0,partly
0c541d7e-dda9-4530-acd1-88b3c4cdb998,65000000000,18,0,0,4,1,0,0,0,0,0,1,0,0,0,0,1,ho-chi-minh,retail-spaces,0,partly
2617b272-f61b-4820-b0d1-343740f07a8c,14000000000,0,0,160.0,0,1,1,1,1,1,1,1,1,1,1,1,1,ho-chi-minh,retail-spaces,0,partly
78171260-c819-4d1f-879b-c5a34409eacc,8000000000,0,0,180.0,0,1,1,1,1,1,1,1,1,1,1,1,1,ho-chi-minh,retail-spaces,0,partly
459a7278-7d31-4ae5-bb76-d4285ef8576d,285000000000,0,0,1725.0,7,0,0,0,0,0,0,1,0,0,0,0,0,ho-chi-minh,retail-spaces,0,partly
5c216c59-b317-48b5-9705-8a0b965693b6,180000000000,0,0,1638.0,8,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,retail-spaces,0,partly
b7b7f55a-566c-46b8-b87e-dcd3852b1099,79000000000,0,0,800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,retail-spaces,0,partly
1af8a165-6030-40a6-a7c4-67e7696d2e62,46500000000,18,18,0,6,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,retail-spaces,0,partly
87fad9f3-6918-49d1-af91-0c8e88e1340d,82000000000,0,0,1380.0,7,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,retail-spaces,0,partly
4f75d643-dbb4-4113-a33e-e54864c678b7,90000000000,0,0,750.0,2,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,retail-spaces,0,partly
